http://catalogue.bnf.fr/	http://gallica.bnf.fr/	images	pp	chars	OCR	topic	titre
ark:/12148/cb37568695j	ark:/12148/bpt6k6220117v	high	1101	2629622	99.84		Journal d'Olivier Lefèvre d'Ormesson et extraits des mémoires d'André Lefèvre d'Ormesson. Tome II : 1661-1672
ark:/12148/cb375625307	ark:/12148/bpt6k62205444	high	686	1220535	99.33 	lettres	Lettres de rois, reines et autres personnages des cours de France et d'Angleterre depuis Louis VII jusqu'à Henri IV tirées des archives de Londres. Tome I : de l'année 1162 à 1300
ark:/12148/cb375674398	ark:/12148/bpt6k62207939	high	276	474747	99.96		Procès-verbaux des séances du Conseil de régence du roi Charles VIII pendant les mois d'août 1484 à janvier 1485
ark:/12148/cb375625307	ark:/12148/bpt6k6220842b	high	636	1105622	99.06	lettres	Lettres de rois, reines et autres personnages des cours de France et d'Angleterre depuis Louis VII jusqu'à Henri IV tirées des archives de Londres. Tome II : de l'année 1301 à 1515
ark:/12148/cb37569635x	ark:/12148/bpt6k6221328n	high	620	1304576	99.04	chartes	Cartulaire de l'abbaye de Saint-Père de Chartres. Tome II
ark:/12148/cb37557750d	ark:/12148/bpt6k6221334c	high	738	1504256	99.96		Négociations relatives à la succession d'Espagne sous Louis XIV ou Correspondances, mémoires, et actes diplomatiques concernant les prétentions et l'avènement de la maison de Bourbon au trône d'Espagne. Tome III
ark:/12148/cb37557738j	ark:/12148/bpt6k6222585p	high	546	1894438	98.5 	lettres	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome VIII : additions, corrections, errata généraux et table générale des matières
ark:/12148/cb37565583j	ark:/12148/bpt6k6222680z	high	876	2167421	98.56	lettres	Lettres du cardinal Mazarin pendant son ministère. Tome IV : janvier - décembre 1651
ark:/12148/cb37563767c	ark:/12148/bpt6k62227520	high	817	1507242	99.96		Chronique du religieux de Saint-Denys : contenant le règne de Charles VI, de 1380 à 1422. Tome II
ark:/12148/cb37563767c	ark:/12148/bpt6k6224315z	high	798	1446373	99.96		Chronique du religieux de Saint-Denys : contenant le règne de Charles VI, de 1380 à 1422. Tome I
