http://catalogue.bnf.fr/	BENC	CTHS	http://gallica.bnf.fr/	pages	OCR	année	nº in coll.	tome	nº in série	format	sous-collection	titre	éditeur (@key)	éditeur (@ref)	auteur (@key)	auteur (@ref)	collection	exemplaire CTHS ?	regroupement (titre)	regroupement (ark, notice BnF)	code erreur	commentaire
ark:/12148/cb37566152d	57161	659	ark:/12148/bpt6k292781	782	 -	1859		1		in-4	Première série, Histoire politique	Négociations diplomatiques de la France avec la Toscane. Tome I	Canestrini, Giuseppe (1807-1870) | Desjardins, Abel (1814-1886)	http://catalogue.bnf.fr/ark:/12148/cb12554771r | http://catalogue.bnf.fr/ark:/12148/cb12567343b	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Négociations diplomatiques de la France avec la Toscane	http://catalogue.bnf.fr/ark:/12148/cb37566152d		
ark:/12148/cb37566152d	57161	1118	ark:/12148/bpt6k29279c	1140	 -	1861		2		in-4	Première série, Histoire politique	Négociations diplomatiques de la France avec la Toscane. Tome II	Canestrini, Giuseppe (1807-1870) | Desjardins, Abel (1814-1886)	http://catalogue.bnf.fr/ark:/12148/cb12554771r | http://catalogue.bnf.fr/ark:/12148/cb12567343b	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Négociations diplomatiques de la France avec la Toscane	http://catalogue.bnf.fr/ark:/12148/cb37566152d		
ark:/12148/cb37566152d	57161	1119	ark:/12148/bpt6k29280k	948	 -	1865		3		in-4	Première série, Histoire politique	Négociations diplomatiques de la France avec la Toscane. Tome III	Canestrini, Giuseppe (1807-1870) | Desjardins, Abel (1814-1886)	http://catalogue.bnf.fr/ark:/12148/cb12554771r | http://catalogue.bnf.fr/ark:/12148/cb12567343b	 -	 -	Collection de documents inédits sur l'histoire de France		Négociations diplomatiques de la France avec la Toscane	http://catalogue.bnf.fr/ark:/12148/cb37566152d		
ark:/12148/cb37566152d	57161	1120	ark:/12148/bpt6k29281x	896	97.08 	1872		4		in-4	Première série, Histoire politique	Négociations diplomatiques de la France avec la Toscane. Tome IV	Canestrini, Giuseppe (1807-1870) | Desjardins, Abel (1814-1886)	http://catalogue.bnf.fr/ark:/12148/cb12554771r | http://catalogue.bnf.fr/ark:/12148/cb12567343b	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Négociations diplomatiques de la France avec la Toscane	http://catalogue.bnf.fr/ark:/12148/cb37566152d		
ark:/12148/cb37566152d	57161	1121	ark:/12148/bpt6k292828	703	94.3	1875		5		in-4	Première série, Histoire politique	Négociations diplomatiques de la France avec la Toscane. Tome V	Canestrini, Giuseppe (1807-1870) | Desjardins, Abel (1814-1886)	http://catalogue.bnf.fr/ark:/12148/cb12554771r | http://catalogue.bnf.fr/ark:/12148/cb12567343b	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Négociations diplomatiques de la France avec la Toscane	http://catalogue.bnf.fr/ark:/12148/cb37566152d		
ark:/12148/cb37566152d	57161		ark:/12148/bpt6k29283m	144	67.54	1886		6		in-4	Première série, Histoire politique	Négociations diplomatiques de la France avec la Toscane. Tome VI	Canestrini, Giuseppe (1807-1870) | Desjardins, Abel (1814-1886)	http://catalogue.bnf.fr/ark:/12148/cb12554771r | http://catalogue.bnf.fr/ark:/12148/cb12567343b	 -	 -	Collection de documents inédits sur l'histoire de France		Négociations diplomatiques de la France avec la Toscane	http://catalogue.bnf.fr/ark:/12148/cb37566152d		
ark:/12148/cb37568695j	46804	829	ark:/12148/bpt6k62244211	1008	99.96	1860		1			Première série, Histoire politique	Journal d'Olivier Lefèvre d'Ormesson et extraits des mémoires d'André Lefèvre d'Ormesson. Tome I : 1643-1650	Chéruel, Adolphe (1809-1891) 	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Ormesson, Olivier Le Fèvre d' (1616?-1686)	http://catalogue.bnf.fr/ark:/12148/cb119182089	Collection de documents inédits sur l'histoire de France		Journal d'Olivier Lefèvre d'Ormesson et extraits des mémoires d'André Lefèvre d'Ormesson	http://catalogue.bnf.fr/ark:/12148/cb37568695j		
ark:/12148/cb37568695j	46804	676	ark:/12148/bpt6k6220117v	1101	99.84	1861		2			Première série, Histoire politique	Journal d'Olivier Lefèvre d'Ormesson et extraits des mémoires d'André Lefèvre d'Ormesson. Tome II : 1661-1672 	Chéruel, Adolphe (1809-1891) 	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Ormesson, Olivier Le Fèvre d' (1616?-1686)	http://catalogue.bnf.fr/ark:/12148/cb119182089	Collection de documents inédits sur l'histoire de France	oui	Journal d'Olivier Lefèvre d'Ormesson et extraits des mémoires d'André Lefèvre d'Ormesson	http://catalogue.bnf.fr/ark:/12148/cb37568695j		
ark:/12148/cb375662593	54094	677	ark:/12148/bpt6k292870	774	 -	1862				in-4	Première série, Histoire politique	Mémoires de Nicolas-Joseph Foucault	Baudry, Frédéric (1818-1885)	http://catalogue.bnf.fr/ark:/12148/cb12136283r	Foucault, Nicolas-Joseph (1643-1721)	http://catalogue.bnf.fr/ark:/12148/cb134823696	Collection de documents inédits sur l'histoire de France					
ark:/12148/cb375661543	55105	655	ark:/12148/bpt6k315455	889	88.93	1862				in-4	Première série, Histoire politique	Le mistère du siège d'Orléans	Guessard, François (1814-1882) | Certain, Eugène de (1812-1869)	http://catalogue.bnf.fr/ark:/12148/cb12439763r | http://catalogue.bnf.fr/ark:/12148/cb13516984f	 -	 -	Collection de documents inédits sur l'histoire de France					
ark:/12148/cb37558449m	57155	671	ark:/12148/bpt6k366956	931	99.14	1862				in-4	Première série, Histoire politique	Négociations, lettres et pièces relatives à la conférence de Loudun	Bouchitté, Louis-Firmin-Hervé (1795-1861)	http://catalogue.bnf.fr/ark:/12148/cb121840812	 -	 -	Collection de documents inédits sur l'histoire de France					
ark:/12148/cb37567103f	11798	634	ark:/12148/bpt6k289165	1180	 -	1863				in-4	Première série, Histoire politique	Cartulaire de l'Abbaye de Redon en Bretagne : [832-1124]	Courson, Aurélien de (1808-1889)	http://catalogue.bnf.fr/ark:/12148/cb118979659	Abbaye Saint-Sauveur (Redon, Ille-et-Vilaine)	http://catalogue.bnf.fr/ark:/12148/cb13509830r	Collection de documents inédits sur l'histoire de France				auteur_personne-morale	
ark:/12148/cb35693301v	11947		ark:/12148/bpt6k114654m	916	86.42	1864					 -	"Cartulaire de Saint-Vincent de Mâcon, connu sous le nom de ""Livre enchaîné"" "	Ragut, Camille (1797-1870) | Académie de Mâcon	http://catalogue.bnf.fr/ark:/12148/cb12360366z | http://catalogue.bnf.fr/ark:/12148/cb11872830r	 -	 -	Collection de documents inédits sur l'histoire de France				éditeur_personne-morale	
ark:/12148/cb375629848	12048	635				1869				in-4	Première série, Histoire politique	Cartulaires de l'église cathédrale de Grenoble : dits Cartulaires de Saint-Hugues	Marion, Jules (1818-1886)	http://catalogue.bnf.fr/ark:/12148/cb13555303j	Église catholique. Diocèse (Grenoble)	http://catalogue.bnf.fr/ark:/12148/cb12151961k	Collection de documents inédits sur l'histoire de France				auteur_personne-morale	
