ark Gallica	pp
http://gallica.bnf.fr/ark:/12148/bpt6k6335954z	894
http://gallica.bnf.fr/ark:/12148/bpt6k6348326s	646
http://gallica.bnf.fr/ark:/12148/bpt6k6348332h	700
http://gallica.bnf.fr/ark:/12148/bpt6k6348333x	598
http://gallica.bnf.fr/ark:/12148/bpt6k6429245s	838
http://gallica.bnf.fr/ark:/12148/bpt6k6430168x	663
http://gallica.bnf.fr/ark:/12148/bpt6k6431727c	487
http://gallica.bnf.fr/ark:/12148/bpt6k6436062z	437
http://gallica.bnf.fr/ark:/12148/bpt6k64389722	963
http://gallica.bnf.fr/ark:/12148/bpt6k64797981	970
http://gallica.bnf.fr/ark:/12148/bpt6k6511446c	714
http://gallica.bnf.fr/ark:/12148/bpt6k65149498	894
http://gallica.bnf.fr/ark:/12148/bpt6k6514954k	716
http://gallica.bnf.fr/ark:/12148/bpt6k65172098	1046
http://gallica.bnf.fr/ark:/12148/bpt6k65173086  ?
http://gallica.bnf.fr/ark:/12148/bpt6k6517331f	548
http://gallica.bnf.fr/ark:/12148/bpt6k6517332v	648
http://gallica.bnf.fr/ark:/12148/bpt6k65214138	920
http://gallica.bnf.fr/ark:/12148/bpt6k6529168p	800
http://gallica.bnf.fr/ark:/12148/bpt6k6530870n	899
http://gallica.bnf.fr/ark:/12148/bpt6k6532936k	750
http://gallica.bnf.fr/ark:/12148/bpt6k65329800	878
http://gallica.bnf.fr/ark:/12148/bpt6k6534844d	570
http://gallica.bnf.fr/ark:/12148/bpt6k65348808	580
http://gallica.bnf.fr/ark:/12148/bpt6k65348823	514
http://gallica.bnf.fr/ark:/12148/bpt6k6534914m	766
http://gallica.bnf.fr/ark:/12148/bpt6k6534939f	732
http://gallica.bnf.fr/ark:/12148/bpt6k65349685	674
http://gallica.bnf.fr/ark:/12148/bpt6k65349759	580
http://gallica.bnf.fr/ark:/12148/bpt6k6534976q	816
http://gallica.bnf.fr/ark:/12148/bpt6k6534980m	784
http://gallica.bnf.fr/ark:/12148/bpt6k6534983v	802
http://gallica.bnf.fr/ark:/12148/bpt6k6534985p	932
http://gallica.bnf.fr/ark:/12148/bpt6k6534991d	620
http://gallica.bnf.fr/ark:/12148/bpt6k65353974	655
http://gallica.bnf.fr/ark:/12148/bpt6k6561127c	168
http://gallica.bnf.fr/ark:/12148/bpt6k6577044p	992
